task,subject_id,session,condition,accuracy,mean_rt
AF,7142,1,con,94.44444444444444,642.9861111111111
AF,7142,1,inc,98.61111111111111,658.625
AF,7143,1,con,97.22222222222221,723.8055555555555
AF,7143,1,inc,98.61111111111111,720.7916666666666
AF,7145,1,con,91.66666666666666,567.4444444444445
AF,7145,1,inc,97.22222222222221,594.2638888888889
AF,7146,1,con,91.66666666666666,747.8055555555555
AF,7146,1,inc,91.66666666666666,765.4583333333334
AF,7147,1,con,94.44444444444444,721.4722222222222
AF,7147,1,inc,97.22222222222221,715.5416666666666
AF,7150,1,con,95.83333333333334,623.5694444444445
AF,7150,1,inc,91.66666666666666,667.5972222222222
AF,7151,1,con,94.44444444444444,853.3888888888889
AF,7151,1,inc,98.61111111111111,876.2638888888889
AF,7152,1,con,93.05555555555556,488.5
AF,7152,1,inc,87.5,553.6805555555555
AF,7153,1,con,95.83333333333334,858.5
AF,7153,1,inc,97.22222222222221,944.3055555555555
AF,7155,1,con,90.27777777777779,767.375
AF,7155,1,inc,95.83333333333334,812.9583333333334
AF,7156,1,con,95.83333333333334,612.6944444444445
AF,7156,1,inc,100.0,587.5277777777778
AF,7157,1,con,100.0,560.9305555555555
AF,7157,1,inc,100.0,603.4166666666666
AF,7158,1,con,95.83333333333334,563.0138888888889
AF,7158,1,inc,97.22222222222221,602.2222222222222
AF,7159,1,con,97.22222222222221,648.75
AF,7159,1,inc,100.0,673.375
AF,7160,1,con,94.44444444444444,721.9166666666666
AF,7160,1,inc,95.83333333333334,723.9722222222222
AF,7161,1,con,94.44444444444444,731.1944444444445
AF,7161,1,inc,95.83333333333334,714.9861111111111
AF,7164,1,con,98.61111111111111,690.0972222222222
AF,7164,1,inc,98.61111111111111,634.3472222222222
AF,7165,1,con,97.22222222222221,564.5
AF,7165,1,inc,98.61111111111111,600.9166666666666
AF,7166,1,con,94.44444444444444,775.625
AF,7166,1,inc,94.44444444444444,820.8611111111111
AF,7167,1,con,88.75,460.125
AF,7167,1,inc,88.75,511.9375
AF,7168,1,con,90.27777777777779,659.4722222222222
AF,7168,1,inc,87.5,697.6944444444445
AF,7170,1,con,100.0,790.5972222222222
AF,7170,1,inc,98.61111111111111,767.8055555555555
AF,7171,1,con,98.61111111111111,568.9444444444445
AF,7171,1,inc,98.61111111111111,575.75
AF,7172,1,con,88.88888888888889,756.0416666666666
AF,7172,1,inc,97.22222222222221,763.1944444444445
AF,7173,1,con,94.44444444444444,666.5
AF,7173,1,inc,94.44444444444444,721.3055555555555
AF,7174,1,con,77.5,713.025
AF,7174,1,inc,78.75,805.9875
AF,7175,1,con,100.0,565.4861111111111
AF,7175,1,inc,95.83333333333334,599.3194444444445
AF,7176,1,con,95.83333333333334,766.5694444444445
AF,7176,1,inc,97.22222222222221,757.0972222222222
AF,7177,1,con,98.61111111111111,821.7638888888889
AF,7177,1,inc,94.44444444444444,800.9027777777778
AF,7178,1,con,97.22222222222221,521.3055555555555
AF,7178,1,inc,98.61111111111111,566.6805555555555
AF,7180,1,con,94.44444444444444,558.0694444444445
AF,7180,1,inc,97.22222222222221,643.0833333333334
