task,subject_id,session,condition,count_correct
DSST,8014,1,0,1
DSST,8014,1,1,53
DSST,8014,2,0,1
DSST,8014,2,1,54
DSST,8014,3,0,1
DSST,8014,3,1,57
DSST,8015,1,0,1
DSST,8015,1,1,53
DSST,8016,1,0,1
DSST,8016,1,1,48
DSST,8016,2,0,1
DSST,8016,2,1,52
DSST,8016,3,0,1
DSST,8016,3,1,51
DSST,8017,1,0,1
DSST,8017,1,1,58
DSST,8017,2,0,1
DSST,8017,2,1,58
DSST,8017,3,0,1
DSST,8017,3,1,60
DSST,8018,1,0,1
DSST,8018,1,1,42
DSST,8018,2,0,1
DSST,8018,2,1,42
DSST,8018,3,0,1
DSST,8018,3,1,42
DSST,8019,1,0,1
DSST,8019,1,1,54
DSST,8019,2,0,1
DSST,8019,2,1,55
DSST,8019,3,0,1
DSST,8019,3,1,56
DSST,8020,1,0,1
DSST,8020,1,1,48
DSST,8020,2,0,1
DSST,8020,2,1,45
DSST,8020,3,0,1
DSST,8020,3,1,46
DSST,8021,1,0,1
DSST,8021,1,1,50
DSST,8021,2,0,1
DSST,8021,2,1,46
DSST,8022,1,0,1
DSST,8022,1,1,51
DSST,8022,2,0,1
DSST,8022,2,1,53
DSST,8022,3,0,1
DSST,8022,3,1,55
DSST,8023,1,0,1
DSST,8023,1,1,51
DSST,8023,2,0,1
DSST,8023,2,1,53
DSST,8023,nan,0,1
DSST,8023,nan,1,53
DSST,8024,1,0,1
DSST,8024,1,1,46
DSST,8024,2,0,1
DSST,8024,2,1,51
DSST,8026,1,0,1
DSST,8026,1,1,53
DSST,8026,2,0,1
DSST,8026,2,1,58
DSST,8026,3,0,1
DSST,8026,3,1,61
DSST,8027,2,0,1
DSST,8027,2,1,48
DSST,8030,1,0,1
DSST,8030,1,1,45
DSST,8030,2,0,1
DSST,8030,2,1,47
DSST,8030,3,0,1
DSST,8030,3,1,48
DSST,8031,1,0,1
DSST,8031,1,1,51
DSST,8031,2,0,1
DSST,8031,2,1,53
DSST,8031,3,0,1
DSST,8031,3,1,52
DSST,8032,1,0,1
DSST,8032,1,1,53
DSST,8032,2,0,1
DSST,8032,2,1,56
DSST,8032,3,0,1
DSST,8032,3,1,56
DSST,8034,1,0,1
DSST,8034,1,1,53
DSST,8035,1,0,1
DSST,8035,1,1,50
DSST,8035,2,0,1
DSST,8035,2,1,51
DSST,8035,3,0,1
DSST,8035,3,1,53
DSST,8036,2,0,1
DSST,8036,2,1,38
DSST,8036,3,0,1
DSST,8036,3,1,37
DSST,8037,1,0,1
DSST,8037,1,1,49
DSST,8037,2,0,1
DSST,8037,2,1,50
DSST,8037,3,0,1
DSST,8037,3,1,54
DSST,8038,1,0,1
DSST,8038,1,1,49
DSST,8038,2,0,1
DSST,8038,2,1,50
DSST,8038,3,0,1
DSST,8038,3,1,54
DSST,8039,1,0,1
DSST,8039,1,1,58
DSST,8039,2,0,1
DSST,8039,2,1,59
DSST,8039,3,0,1
DSST,8039,3,1,64
DSST,8040,1,0,1
DSST,8040,1,1,51
DSST,8040,2,0,1
DSST,8040,2,1,56
DSST,8040,3,0,1
DSST,8040,3,1,53
DSST,8042,1,0,1
DSST,8042,1,1,55
DSST,8046,1,0,1
DSST,8046,1,1,56
DSST,8046,2,0,1
DSST,8046,2,1,57
DSST,8046,3,0,1
DSST,8046,3,1,60
DSST,8047,1,0,1
DSST,8047,1,1,56
DSST,8047,2,0,1
DSST,8047,2,1,58
DSST,8047,3,0,1
DSST,8047,3,1,55
DSST,8048,1,0,1
DSST,8048,1,1,57
DSST,8048,2,0,1
DSST,8048,2,1,57
DSST,8048,3,0,1
DSST,8048,3,1,59
DSST,8050,1,0,1
DSST,8050,1,1,58
DSST,8050,2,0,1
DSST,8050,2,1,55
DSST,8051,1,0,1
DSST,8051,1,1,53
DSST,8051,2,0,1
DSST,8051,2,1,55
DSST,8051,3,0,1
DSST,8051,3,1,54
DSST,8052,1,0,1
DSST,8052,1,1,56
DSST,8052,2,0,1
DSST,8052,2,1,52
DSST,8052,3,0,1
DSST,8052,3,1,56
DSST,8053,1,0,1
DSST,8053,1,1,48
DSST,8053,2,0,1
DSST,8053,2,1,54
DSST,8053,nan,0,1
DSST,8053,nan,1,59
DSST,8054,1,0,1
DSST,8054,1,1,46
DSST,8054,2,0,1
DSST,8054,2,1,51
DSST,8056,1,0,1
DSST,8056,1,1,50
DSST,8056,2,0,1
DSST,8056,2,1,49
DSST,8056,3,0,1
DSST,8056,3,1,51
DSST,8058,1,0,1
DSST,8058,1,1,68
DSST,8058,2,0,1
DSST,8058,2,1,67
DSST,8060,1,0,1
DSST,8060,1,1,63
DSST,8060,2,0,1
DSST,8060,2,1,66
DSST,8060,3,0,1
DSST,8060,3,1,70
DSST,8061,1,0,1
DSST,8061,1,1,54
DSST,8063,1,0,1
DSST,8063,1,1,57
DSST,8063,2,0,1
DSST,8063,2,1,57
DSST,8064,1,0,1
DSST,8064,1,1,44
DSST,8064,2,0,1
DSST,8064,2,1,44
DSST,8065,1,0,1
DSST,8065,1,1,58
DSST,8065,2,0,1
DSST,8065,2,1,61
DSST,8066,2,0,1
DSST,8066,2,1,51
DSST,8067,1,0,1
DSST,8067,1,1,47
DSST,8068,1,0,1
DSST,8068,1,1,37
DSST,8068,2,0,1
DSST,8068,2,1,44
DSST,8069,1,0,1
DSST,8069,1,1,55
DSST,8069,2,0,1
DSST,8069,2,1,58
DSST,8070,1,0,1
DSST,8070,1,1,59
DSST,8070,2,0,1
DSST,8070,2,1,61
DSST,8072,1,0,1
DSST,8072,1,1,50
DSST,8072,2,0,1
DSST,8072,2,1,50
DSST,8073,2,0,1
DSST,8073,2,1,56
DSST,8073,nan,0,1
DSST,8073,nan,1,54
DSST,8074,1,0,1
DSST,8074,1,1,46
DSST,8074,2,0,1
DSST,8074,2,1,55
DSST,8075,1,0,1
DSST,8075,1,1,55
DSST,8075,nan,0,1
DSST,8075,nan,1,61
DSST,8076,1,0,1
DSST,8076,1,1,58
DSST,8076,2,0,1
DSST,8076,2,1,58
DSST,8079,2,0,1
DSST,8079,2,1,47
DSST,8080,1,0,1
DSST,8080,1,1,53
DSST,8083,1,0,1
DSST,8083,1,1,51
DSST,8083,nan,0,1
DSST,8083,nan,1,52
DSST,8084,1,0,1
DSST,8084,1,1,44
DSST,8084,2,0,1
DSST,8084,2,1,49
DSST,8085,1,0,1
DSST,8085,1,1,55
DSST,8090,1,0,1
DSST,8090,1,1,52
DSST,8092,1,0,1
DSST,8092,1,1,44
DSST,8093,1,0,1
DSST,8093,1,1,47
DSST,9002,1,0,1
DSST,9002,1,1,50
DSST,9002,3,0,1
DSST,9002,3,1,49
DSST,9003,1,0,1
DSST,9003,1,1,59
DSST,9003,3,0,1
DSST,9003,3,1,61
DSST,9004,1,0,1
DSST,9004,1,1,51
DSST,9005,1,0,1
DSST,9005,1,1,49
DSST,9005,2,0,1
DSST,9005,2,1,48
DSST,9005,3,0,1
DSST,9005,3,1,47
DSST,9007,1,0,1
DSST,9007,1,1,49
DSST,9008,1,0,1
DSST,9008,1,1,43
DSST,9009,1,0,1
DSST,9009,1,1,51
DSST,9009,3,0,1
DSST,9009,3,1,50
DSST,9009,,0,1
DSST,9009,,1,50
DSST,9010,1,0,1
DSST,9010,1,1,53
DSST,9010,2,0,1
DSST,9010,2,1,52
DSST,9010,3,0,1
DSST,9010,3,1,56
DSST,9011,1,0,1
DSST,9011,1,1,57
DSST,9013,1,0,1
DSST,9013,1,1,56
DSST,9013,2,0,1
DSST,9013,2,1,54
DSST,9013,3,0,1
DSST,9013,3,1,57
DSST,9014,1,0,1
DSST,9014,1,1,56
DSST,9015,1,0,1
DSST,9015,1,1,65
DSST,9015,2,0,1
DSST,9015,2,1,69
DSST,9015,3,0,1
DSST,9015,3,1,64
DSST,9017,1,0,1
DSST,9017,1,1,47
DSST,9017,2,0,1
DSST,9017,2,1,49
DSST,9017,3,0,1
DSST,9017,3,1,55
DSST,9018,1,0,1
DSST,9018,1,1,58
DSST,9019,1,0,1
DSST,9019,1,1,51
DSST,9019,2,0,1
DSST,9019,2,1,55
DSST,9019,3,0,1
DSST,9019,3,1,57
DSST,9020,1,0,1
DSST,9020,1,1,51
DSST,9021,1,0,1
DSST,9021,1,1,47
DSST,9021,2,0,1
DSST,9021,2,1,50
DSST,9021,3,0,1
DSST,9021,3,1,48
DSST,9023,1,0,1
DSST,9023,1,1,51
DSST,9023,2,0,1
DSST,9023,2,1,51
DSST,9023,3,0,1
DSST,9023,3,1,54
DSST,9024,1,0,1
DSST,9024,1,1,39
DSST,9024,2,0,1
DSST,9024,2,1,39
DSST,9024,3,0,1
DSST,9024,3,1,36
DSST,9028,1,0,1
DSST,9028,1,1,50
DSST,9028,2,0,1
DSST,9028,2,1,52
DSST,9029,1,0,1
DSST,9029,1,1,48
DSST,9029,2,0,1
DSST,9029,2,1,48
DSST,9030,1,0,1
DSST,9030,1,1,37
DSST,9031,1,0,1
DSST,9031,1,1,51
DSST,9031,2,0,1
DSST,9031,2,1,52
DSST,9033,1,0,1
DSST,9033,1,1,33
DSST,9033,2,0,1
DSST,9033,2,1,36
DSST,9034,1,0,1
DSST,9034,1,1,55
DSST,9034,2,0,1
DSST,9034,2,1,49
DSST,9035,1,0,1
DSST,9035,1,1,51
DSST,9038,1,0,1
DSST,9038,1,1,51
DSST,9045,nan,0,1
DSST,9045,nan,1,43
DSST,9047,1,0,1
DSST,9047,1,1,53
